iter	Passed	Remaining
376	3773	1231
377	3783	1221
378	3792	1210
379	3801	1200
380	3810	1190
381	3819	1179
382	3828	1169
383	3838	1159
384	3847	1149
385	3856	1139
386	3865	1128
387	3874	1118
388	3883	1108
389	3892	1097
390	3902	1087
391	3911	1077
392	3920	1067
393	3931	1057
394	3941	1047
395	3950	1037
396	3959	1027
397	3968	1017
398	3977	1006
399	3986	996
400	3995	986
401	4003	976
402	4012	965
403	4022	955
404	4034	946
405	4044	936
406	4053	926
407	4062	915
408	4071	905
409	4080	895
410	4089	885
411	4098	875
412	4108	865
413	4117	855
414	4125	845
415	4135	834
416	4143	824
417	4152	814
418	4161	804
419	4170	794
420	4181	784
421	4189	774
422	4199	764
423	4208	754
424	4217	744
425	4227	734
426	4236	724
427	4245	714
428	4253	704
429	4262	693
430	4271	683
431	4280	673
432	4289	663
433	4298	653
434	4307	643
435	4317	633
436	4327	623
437	4336	613
438	4345	603
439	4354	593
440	4363	583
441	4372	573
442	4381	563
443	4390	553
444	4398	543
445	4409	533
446	4421	524
447	4431	514
448	4440	504
449	4449	494
450	4459	484
451	4468	474
452	4477	464
453	4486	454
454	4495	444
455	4505	434
456	4514	424
457	4524	414
458	4533	404
459	4542	394
460	4550	385
461	4560	375
462	4570	365
463	4579	355
464	4588	345
465	4597	335
466	4606	325
467	4615	315
468	4624	305
469	4632	295
470	4642	285
471	4651	275
472	4660	266
473	4669	256
474	4678	246
475	4687	236
476	4695	226
477	4704	216
478	4713	206
479	4722	196
480	4731	186
481	4742	177
482	4752	167
483	4761	157
484	4771	147
485	4780	137
486	4789	127
487	4798	118
488	4808	108
489	4817	98
490	4828	88
491	4840	78
492	4851	68
493	4862	59
494	4872	49
495	4881	39
496	4890	29
497	4901	19
498	4910	9
499	4921	0
