iter	Logloss
284	0.5817745506
285	0.5817003859
286	0.5816117583
287	0.5815313945
288	0.581496442
289	0.5814433627
290	0.5813846107
291	0.5813447801
292	0.5812866813
293	0.5812568808
294	0.5811801282
295	0.5810877638
296	0.5810371169
297	0.5809964884
298	0.5809541279
299	0.5808903961
300	0.5808444745
301	0.580813826
302	0.5807713951
303	0.5807191933
304	0.5806712734
305	0.5806164016
306	0.5805546876
307	0.5805122709
308	0.5804132712
309	0.5803482727
310	0.5802894077
311	0.5802077144
312	0.5801463139
313	0.5800801948
314	0.5799994749
315	0.5799450644
316	0.5798913565
317	0.5798119239
318	0.5797762815
319	0.5797199924
320	0.5796704898
321	0.5796508369
322	0.5796150925
323	0.579563227
324	0.5795181709
325	0.5794705688
326	0.5794038665
327	0.579352909
328	0.579315157
329	0.5792378096
330	0.57916444
331	0.579131791
332	0.5790888033
333	0.579040812
334	0.578991378
335	0.5789408779
336	0.5788826114
337	0.5788259402
338	0.5787947254
339	0.5787600907
340	0.5787223493
341	0.5786607241
342	0.5786169545
343	0.578583478
344	0.5785371521
345	0.5785098086
346	0.5784323456
347	0.5783663844
348	0.5783240642
349	0.5782721899
350	0.5782276245
351	0.5781593203
352	0.578125937
353	0.5780555004
354	0.578003868
355	0.5779499991
356	0.5779208535
357	0.5778676336
358	0.5778283818
359	0.5777868658
360	0.5777262642
361	0.5776801789
362	0.5776250108
363	0.5775475839
364	0.5775147852
365	0.5774753601
366	0.577451383
367	0.5774099775
368	0.5773678991
369	0.5773032595
370	0.5772447476
371	0.5771905347
372	0.5771251174
373	0.577084027
374	0.5770454266
375	0.5769455707
376	0.5768706134
377	0.5768284557
378	0.5767754538
379	0.5766973507
380	0.5766517325
381	0.5765888423
382	0.5765444876
383	0.576496648
384	0.5764476039
385	0.5764047509
386	0.5763712313
387	0.5763058453
388	0.5762542597
389	0.5761796724
390	0.5761307422
391	0.576083189
392	0.5760473537
393	0.576028028
394	0.5759742092
395	0.5759525525
396	0.575890404
397	0.5758529661
398	0.5758083468
399	0.5757512757
400	0.5757223918
401	0.5756756985
402	0.5756404869
403	0.5756111903
404	0.5755567041
405	0.5755437108
406	0.5755001466
407	0.5753902312
408	0.5753490011
409	0.5752991011
410	0.5752833063
411	0.5752501559
412	0.5751997526
413	0.5751685039
414	0.5751152455
415	0.5750949284
416	0.5750689935
417	0.575013148
418	0.5749816579
419	0.5749466433
420	0.574925864
421	0.5748747689
422	0.574854341
423	0.5748101497
424	0.5747823598
425	0.574755981
426	0.5747377973
427	0.5747046535
428	0.5746538721
429	0.5746349311
430	0.5746104584
431	0.5745888266
432	0.5745521855
433	0.5745303736
434	0.5744999871
435	0.5744800721
436	0.5744658221
437	0.5744435293
438	0.5744077918
439	0.5743623355
440	0.5743294956
441	0.5742866524
442	0.5742502375
443	0.5742106986
444	0.5741692091
445	0.5741132365
446	0.5740607318
447	0.5740058403
448	0.5739796523
449	0.5739360341
450	0.573896541
451	0.573841555
452	0.5738018482
453	0.5737704875
454	0.5737288596
455	0.5737059097
456	0.5736739958
457	0.5736444266
458	0.5736220111
459	0.5735680504
460	0.5735541162
461	0.5735015503
462	0.5734885832
463	0.573472514
464	0.5734354496
465	0.5733962194
466	0.5733321998
467	0.5732940882
468	0.5732429927
469	0.5732033824
470	0.57316271
471	0.5731235699
472	0.5730910299
473	0.5730582156
474	0.5730001323
475	0.5729667619
476	0.572906584
477	0.572882393
478	0.5728404499
479	0.5727856799
480	0.5727591824
481	0.5727412975
482	0.5727250298
483	0.5726993763
484	0.5726455036
485	0.5726053863
486	0.5725618212
487	0.5725301763
488	0.5724996706
489	0.5724770836
490	0.5724195852
491	0.5723856458
492	0.5723562514
493	0.5723118417
494	0.5722923925
495	0.5722759057
496	0.5722466911
497	0.5722114374
498	0.5721756353
499	0.5721302952
